step,loss,mean_train_acc,mean_test_acc,mean_domain_acc,exact
1,2.093128204345703,0.24439018964767456,0.19267578423023224,0.23921874165534973,0
250,0.8252621293067932,0.6812716722488403,0.6138671636581421,0.6745312213897705,163
500,0.5419488549232483,0.7205621004104614,0.6004883050918579,0.7085546851158142,427
750,0.47257182002067566,0.7400065064430237,0.592480480670929,0.7252539396286011,441
1000,0.4438808858394623,0.7640299797058105,0.608105480670929,0.7484375238418579,444
1250,0.4166474938392639,0.7879123091697693,0.6291015148162842,0.7720312476158142,447
1500,0.3839690387248993,0.8168836832046509,0.6620117425918579,0.8013964891433716,463
1750,0.3490486443042755,0.844325065612793,0.7043945789337158,0.8303320407867432,520
2000,0.317867249250412,0.8633571863174438,0.7344726324081421,0.8504687547683716,553
2250,0.29286515712738037,0.8744791746139526,0.752246081829071,0.862255871295929,556
2500,0.2740038335323334,0.8801432847976685,0.7689453363418579,0.8690234422683716,557
2750,0.2597794830799103,0.8846354484558105,0.77880859375,0.8740527629852295,557
3000,0.24912527203559875,0.887988269329071,0.7872070074081421,0.8779101371765137,557
3250,0.24099093675613403,0.890538215637207,0.7926757335662842,0.8807519674301147,557
3500,0.23463685810565948,0.8928385376930237,0.797656238079071,0.8833203315734863,557
3750,0.2295655757188797,0.894639790058136,0.8026366829872131,0.8854395151138306,557
4000,0.2255147099494934,0.8957465291023254,0.8046875,0.8866406679153442,557
4250,0.2222045660018921,0.8970161080360413,0.8072265386581421,0.8880370855331421,557
4500,0.21943329274654388,0.8982856273651123,0.809863269329071,0.8894433975219727,557
4750,0.2169571816921234,0.9000216722488403,0.8125,0.8912695050239563,557
5000,0.21465842425823212,0.9012695550918579,0.814257800579071,0.8925683498382568,557
5250,0.21260999143123627,0.90283203125,0.8160156011581421,0.8941503763198853,557
5500,0.21074038743972778,0.9048936367034912,0.817578136920929,0.8961620926856995,557
5750,0.20903274416923523,0.9059028029441833,0.819042980670929,0.897216796875,557
6000,0.20744264125823975,0.9069444537162781,0.8213866949081421,0.898388683795929,557
6250,0.20592685043811798,0.9078667759895325,0.8238281011581421,0.899462878704071,557
6500,0.20448414981365204,0.9088866710662842,0.8253905773162842,0.9005371332168579,557
6750,0.20309816300868988,0.9094293117523193,0.8271484375,0.9012011289596558,557
7000,0.20177355408668518,0.910069465637207,0.828320324420929,0.9018945097923279,557
7250,0.20051725208759308,0.910731315612793,0.829785168170929,0.902636706829071,557
7500,0.19934017956256866,0.9116427898406982,0.830859363079071,0.903564453125,557
7750,0.19820666313171387,0.9119358062744141,0.8309570550918579,0.9038379192352295,557
8000,0.19719114899635315,0.9121419191360474,0.8313477039337158,0.9040625095367432,557
