net,domain_exact,best_k,gcd_k_n,phase_mae_deg,mean_abs_deg,q_odd_over_even,radius_parity_separation,f_decoder_acc,f_decoder_exact,q_decoder_acc,q_decoder_exact,q_certified,q_break_at,composition_acc,composition_exact,substitution_acc,substitution_exact,family
0,True,9,1,0.21253339116728884,0.38262690211250616,1.0005514763276728,0.0005513243065207991,1.0,True,,False,False,gcd_k_not_2,0.6,False,1.0,True,FAMILY_F
1,True,3,1,0.2336432185913433,0.3960669228389166,0.9871215708455361,0.01296189356847857,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
5,True,2,2,9.125798697073815,13.569953055666714,0.28102499396662695,1.1224995756048515,0.54,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
6,True,1,1,0.2309266806354967,0.3532085293205405,1.0160860964711624,0.01595774753798326,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
8,True,6,2,8.988556672081618,13.369453707026661,0.29529504867006656,1.0880995060600032,0.49,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
11,True,7,1,0.187471267202653,0.3249628404307152,1.0087698775269263,0.008731590039296343,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
13,True,1,1,0.1691001480280841,0.2781460851906869,0.9959731890022113,0.004034934958020813,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
14,True,4,2,8.940918395269422,13.299819935207747,0.2819845878471598,1.120162315459042,0.52,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
16,True,8,2,8.928760951296072,13.28204435880329,0.28464614039344244,1.1136979081063827,0.47,False,1.0,True,True,,0.25,False,0.5,False,FAMILY_Q
17,True,3,1,0.14794150029715483,0.24398457995944176,1.044702133632801,0.04372483688211264,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
20,True,1,1,0.1634270597065046,0.25321209115705845,0.9844141962688988,0.015708216319360837,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
21,True,1,1,0.19781363769322238,0.29318756522539774,1.0837166132791942,0.08035316582464397,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
23,True,9,1,0.18745971369999717,0.3424784325628351,1.1600553696928297,0.14819561751844393,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
25,True,1,1,0.1433152506799298,0.23724583935762056,1.0019126527748226,0.0019108254020688974,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
29,True,9,1,0.1545001007189226,0.263602644327742,1.0055766954216667,0.00556118889334644,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
30,True,7,1,0.16485431729387143,0.2631689488734622,1.012444872802231,0.012367914242442995,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
31,True,1,1,0.1945477113764823,0.2585684151454181,0.9587191725322566,0.04215083820757725,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
34,True,1,1,0.17597294314928255,0.3196561417760522,0.981317546784591,0.0188586158192845,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
38,True,9,1,0.26821067270940885,0.49789613602682126,0.9702823895765232,0.030165838745444016,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
40,True,9,1,0.21541909390949004,0.2945101222876346,1.0120067369835695,0.01193508626275292,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
41,True,6,2,9.325331922917519,13.861150502308737,0.30131649674188554,1.0738102606205528,0.45,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
42,True,3,1,0.14164496564635043,0.23675218618636923,0.8604073189905909,0.1500667940665258,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
43,True,3,1,0.27390087385838696,0.4330480381907661,0.9922847770082207,0.007745100580816686,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
47,True,1,1,0.13566925334875693,0.23180428023233154,1.0056742031716008,0.005658150424059929,1.0,True,,False,False,gcd_k_not_2,0.2,False,1.0,True,FAMILY_F
48,True,1,1,0.16465955436930219,0.30908958689769744,0.9525864302258314,0.0485648871058525,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
53,True,1,1,0.19266149180858513,0.27376542161923867,1.0736767446635251,0.07105904510249968,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
55,True,1,1,0.16991702247078858,0.32639298508970566,0.9612485592918616,0.03951711324354548,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
56,True,4,2,8.838328024348481,13.149790356591637,0.2811264857381387,1.1222522089185791,0.47,False,1.0,True,True,,0.5,False,0.5,False,FAMILY_Q
57,True,7,1,0.22060505896243704,0.39853365114034056,1.0025266531657604,0.0025234652050858883,1.0,True,,False,False,gcd_k_not_2,0.3,False,1.0,True,FAMILY_F
65,True,9,1,0.2154380181183423,0.394528241966913,1.0482949778757678,0.047156272311767534,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
68,True,9,1,0.28265272296994776,0.4530226028745421,1.0415514654283735,0.04070577316516963,1.0,True,,False,False,gcd_k_not_2,0.3,False,1.0,True,FAMILY_F
69,True,2,2,9.193337735075737,13.668560805238819,0.30658683687767624,1.0614115243642879,0.51,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
70,True,9,1,0.1780385550998773,0.2772849084711796,0.9880569174089511,0.012014829642417301,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
74,True,9,1,0.1722447932683102,0.2760845715387824,0.996482555245101,0.003523641862693078,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
75,True,3,1,0.19645185413819216,0.26063795339140944,1.0367711035305407,0.03610725178376848,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
76,True,9,1,0.2118873915793448,0.3640983272723353,0.9919302329990161,0.008102459481057504,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
