net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation,domain_exact,f_decoder_exact,q_certified,q_break_at,composition_exact,substitution_exact,family
0,0,9,1,0.17280170003668566,0.08597669341963167,3.8534866327266144,0.23802894806778085,0.30721448034801796,0.7449443358426575,-13.6380548950901,3.855240740421884,3.8517325250313434,0.9990900139247447,0.0009104003010536645,True,True,False,gcd_k_not_2,False,True,FAMILY_F
1,1,3,1,0.18868098058916652,0.08760298062553817,3.952279974930952,-0.7944411119078085,0.3153838643196313,0.6798433406592106,45.5181219949071,3.981309272846513,3.923250677015391,0.9854172103063946,0.014689899551495217,True,True,False,gcd_k_not_2,False,True,FAMILY_F
5,2,2,2,8.972981393876678,0.6179527286019633,6.006141558343929,-2.787546457123823,13.346689285973772,27.215009625976148,159.48908010669768,9.52607244653073,2.4862106701571265,0.26099010731989253,1.1721105318594427,True,False,True,,False,False,FAMILY_Q
6,3,1,1,0.18168804969005695,0.04056636242560455,3.9289484427568455,-2.770678382126392,0.28704813901010606,0.9307011199060123,158.74817661331087,3.890939507098819,3.9669573784148726,1.0195371506489277,0.01934814681933416,True,True,False,gcd_k_not_2,False,True,FAMILY_F
8,4,6,2,8.795243295468337,0.6083891454655956,5.7108087715715845,-2.64297687122441,13.08675522218441,26.719667851058166,151.21919987105858,9.00626770145974,2.4153498416834296,0.26818543726964156,1.1541128627149817,True,False,True,,False,False,FAMILY_Q
11,5,7,1,0.16601133190988707,0.06505813815259798,3.9690345356118693,1.8391645461237178,0.2824434482891252,0.7719472815988226,-105.37636693482604,3.9503737164457675,3.987695354777969,1.0094476221773216,0.009403203221674204,True,True,False,gcd_k_not_2,False,True,FAMILY_F
13,6,1,1,0.1599281074635643,0.029638593440976573,3.857693665458811,-2.7761821127942836,0.2661961686711313,0.7584394753793299,159.06351781439497,3.870398090884726,3.844989240032896,0.9934350807707168,0.006586539278464974,True,True,False,gcd_k_not_2,False,True,FAMILY_F
14,7,4,2,8.708666793114554,0.6288275583381339,5.893866408791639,1.519741958742107,12.96004257983227,26.470299952726396,-87.28071874531867,9.406849173999351,2.3808836435839273,0.25310107556148764,1.19208089276253,True,False,True,,False,False,FAMILY_Q
16,8,8,2,8.756352010501505,0.6177974455827637,5.679184679224866,0.16573610523128696,13.029841363413562,26.54424802130483,-9.286605932300876,9.007488756561482,2.3508806018882487,0.26099178865760514,1.1721063023401757,True,False,True,,False,False,FAMILY_Q
17,9,3,1,0.13182310662327265,0.09616141583815921,3.9389925846219684,0.8005300320241223,0.22841243113502502,0.5417460071245571,-45.86699242011319,3.8503757989206897,4.027609370323246,1.0460302008578584,0.044994644593768784,True,True,False,gcd_k_not_2,False,True,FAMILY_F
20,10,1,1,0.13506297050685886,0.03346917737961511,3.940766973928902,-0.4266960509715524,0.21221150385167212,0.6034660820687052,24.447883428911467,3.976289054854348,3.9052448930034545,0.9821330489632887,0.018028003767008693,True,True,False,gcd_k_not_2,False,True,FAMILY_F
21,11,1,1,0.19474757584701644,0.06382294881716509,4.066657610574954,0.13878747570322608,0.2918437061992693,0.8646234690406271,-7.951938075047039,3.9094507627548154,4.223864458395093,1.080424007033337,0.0773150153636429,True,True,False,gcd_k_not_2,True,True,FAMILY_F
23,12,9,1,0.17356476129145115,0.08269134601313685,3.9220489060545938,-1.9315896059424829,0.33057240581741565,0.9688465668951913,110.67193245254171,3.662403738510745,4.181694073598443,1.1417894836735993,0.13240281993578737,True,True,False,gcd_k_not_2,False,True,FAMILY_F
25,13,1,1,0.13147665147649495,0.04660456935981821,3.9385775276254087,-1.2876954060219683,0.2182377327100042,0.6395741358931359,73.77951143403786,3.936273536835767,3.9408815184150514,1.0011706456718932,0.0011699608670805387,True,True,False,gcd_k_not_2,False,True,FAMILY_F
