net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
2,0,1,1,0.1554801726769351,0.055945320455178464,4.4043234448085125,-3.0093525497536127,0.26228245771291714,0.6518865603764713,172.42319947410243,4.501138572898443,4.307508316718582,0.9569819384487033,0.04396367764681268
3,1,11,1,0.12507713312453694,0.09520531338838767,4.430253430737676,1.2600834916945436,0.21382031137981744,0.5972164671526939,-72.19746560697037,4.353494425617449,4.507012435857903,1.0352631691307794,0.03465219600651418
5,2,1,1,0.23368368582370377,0.05597743762026279,4.326850546186837,2.548657312986241,0.31250865801439065,1.0020845746398066,-146.0273063827341,4.3138503264836645,4.339850765890009,1.006027200166571,0.006009091168923904
8,3,1,1,0.11981895824975976,0.0476518091664451,4.428802898387956,1.425677807091782,0.19062511647093516,0.6351172528696852,-81.68532119391753,4.358686744581045,4.498919052194868,1.0321730640056128,0.03166370480494081
11,4,5,1,0.4607724237696842,0.09899968259263407,4.296883455819169,2.6061710443961728,0.7719718315069412,1.5967464703994936,-149.32257593372879,4.297246348128122,4.2965205635102155,0.9998311047216962,0.0001689095423157963
13,5,1,1,0.1853980286476593,0.08389056894706087,4.2641443304599855,1.824685274019201,0.2991788615503671,0.7755417449817982,-104.54676628771749,4.265768100692992,4.262520560226981,0.9992386973718792,0.0007615925293178756
16,6,11,1,0.13208508231904542,0.055762988737880916,4.356309877022485,-2.8322738336549667,0.19891749494014943,0.6318159593327831,162.27733698999438,4.463180725774261,4.249439028270711,0.9521100061511691,0.049064851568741255
18,7,5,1,0.16121833459086604,0.056889304781616495,4.444882170090408,-1.1394763545661262,0.2817429629461892,0.728800824222559,65.28718511803555,4.463501764519994,4.4262625756608225,0.9916569566175188,0.008377992359337165
25,8,1,1,0.15229610266724516,0.0239851696803124,4.3503354584811005,-1.8189406820824585,0.2438972316320249,0.6318421946994793,104.21762488225053,4.354617406195841,4.346053510766359,0.9980333759247606,0.0019685597837715654
26,9,7,1,0.1088820663533975,0.04758948857985882,4.382283567924724,0.08613798480687797,0.16754627312023776,0.6793390946086936,-4.935342971667841,4.441189518821593,4.323377617027855,0.97347289475163,0.026883678330640082
