net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
0,0,3,1,0.04746563823683575,0.049976024947283995,6.32430740502593,-2.4877418528821305,0.07512672653528353,0.19622434043267356,142.53710868605194
2,1,16,2,3.747943450192243,0.5344914921639365,8.980770671392758,-0.8912408848221457,5.613862584996514,11.347819324913495,51.04823498766725
4,2,16,2,3.7765292387576728,0.5211138602514206,9.010087555172824,-1.172010045440137,5.656554902008035,11.428365874034313,67.13475048577317
5,3,21,1,0.03910685194976059,0.06703405050730872,6.193044594601296,1.4375497718290662,0.0621840920036627,0.2220642340708787,-82.36553475451306
6,4,21,1,0.05161102024886879,0.05439252784063388,6.305780776526671,-2.732096420148643,0.08262872464568291,0.2657639450378034,156.53759406456086
8,5,12,2,3.7731752300337877,0.5328591425861071,9.448714870126757,0.9701534671370741,5.651545829593906,11.411280707264213,-55.60213381970056
10,6,17,1,0.05359655437281643,0.055796783299095355,6.144711799190077,1.039334888243504,0.08787939927178914,0.2766483210762934,-59.54950255795879
13,7,3,1,0.03942876079718951,0.04986507331541699,6.341996049463626,2.925705022593174,0.06467121307389252,0.24783915581490504,-167.63054988637538
16,8,7,1,0.05500465556954721,0.062082295860017844,6.126694507098055,-0.2339126495605786,0.08765356973989763,0.28734350256242763,13.402207604002571
18,9,14,2,3.770847295902066,0.5307060665929009,9.374925309570282,1.4527264960186193,5.648069356194551,11.414646324586549,-83.21869283326086
21,10,13,1,0.05669961806951902,0.057014662776774694,6.230296265502863,1.8540740463833965,0.09194292669889513,0.313002998092886,-106.230617809315
27,11,17,1,0.04874749972243957,0.047609767115899614,6.23184875977037,0.6079783573440176,0.08178539961008062,0.23551930819602415,-34.83459392239686
29,12,5,1,0.05953393704346322,0.07124678224742481,6.286645467800323,-2.18600818615839,0.10202706471820625,0.31685661572616713,125.24904304132625
30,13,6,2,3.7864149739970596,0.5350205034777392,9.39497285444866,-2.6918828688115166,5.67131849705897,11.45536706883382,154.21691853717954
31,14,15,1,0.04252814297859929,0.06211933061607241,6.215231418494133,1.6619035904820414,0.06364458593075618,0.24737985032621992,-95.22006169753749
34,15,12,2,3.772665419836401,0.5361117136929029,9.368627455972046,-1.9463186654738813,5.650784699500698,11.419576053739256,111.53227310889922
35,16,9,1,0.09136362280737291,0.07399135603922528,6.202414893509962,-0.162497078709025,0.15198224138911265,0.3834344049521553,9.310396901645781
36,17,5,1,0.07753584604505519,0.06350144040473346,6.2379965226114455,-0.5708833166540334,0.11932454675554108,0.3795142344202205,32.709204745468945
38,18,13,1,0.07106299215128517,0.07101133596988127,6.266025389797561,0.8443155115027685,0.10957258092368657,0.41619364556690663,-48.3757153187567
39,19,5,1,0.051698715882286216,0.06636968927636148,6.342380195337793,1.260752370115226,0.08703440557239722,0.31712340240997755,-72.23578978595818
41,20,5,1,0.04725301828531028,0.06790948456106577,6.311818554320974,-0.04129197511602486,0.07472252158142972,0.2436970559019009,2.365855914473951
